records[0].View: false,true
records[0].Create: false
records[0].Delete: false
records[0].Print: false
records[0].Edit: false
records[0].All: false
records[1].View: false,true
records[1].Create: false,true
records[1].Delete: false,true
records[1].Print: false,true
records[1].Edit: false
records[1].All: false,true
records[2].View: false
records[2].Create: false
records[2].Delete: false
records[2].Print: false
records[2].Edit: false
records[2].All: false
records[3].View: false
records[3].Create: false
records[3].Delete: false
records[3].Print: false
records[3].Edit: false
records[3].All: false
records[4].View: false
records[4].Create: false
records[4].Delete: false
records[4].Print: false
records[4].Edit: false
records[4].All: false
records[5].View: false
records[5].Create: false
records[5].Delete: false
records[5].Print: false
records[5].Edit: false
records[5].All: false
records[6].View: false
records[6].Create: false
records[6].Delete: false
records[6].Print: false
records[6].Edit: false
records[6].All: false
records[7].View: false
records[7].Create: false
records[7].Delete: false
records[7].Print: false
records[7].Edit: false
records[7].All: false
records[8].View: false
records[8].Create: false
records[8].Delete: false
records[8].Print: false
records[8].Edit: false
records[8].All: false
records[9].View: false
records[9].Create: false
records[9].Delete: false
records[9].Print: false
records[9].Edit: false
records[9].All: false
records[10].View: false
records[10].Create: false
records[10].Delete: false
records[10].Print: false
records[10].Edit: false
records[10].All: false
records[11].View: false
records[11].Create: false
records[11].Delete: false
records[11].Print: false
records[11].Edit: false
records[11].All: false
records[12].View: false
records[12].Create: false
records[12].Delete: false
records[12].Print: false
records[12].Edit: false
records[12].All: false
records[13].View: false
records[13].Create: false
records[13].Delete: false
records[13].Print: false
records[13].Edit: false
records[13].All: false
records[14].View: false
records[14].Create: false
records[14].Delete: false
records[14].Print: false
records[14].Edit: false
records[14].All: false
records[15].View: false
records[15].Create: false
records[15].Delete: false
records[15].Print: false
records[15].Edit: false
records[15].All: false
records[16].View: false
records[16].Create: false
records[16].Delete: false
records[16].Print: false
records[16].Edit: false
records[16].All: false
records[17].View: false
records[17].Create: false
records[17].Delete: false
records[17].Print: false
records[17].Edit: false
records[17].All: false
records[18].View: false
records[18].Create: false
records[18].Delete: false
records[18].Print: false
records[18].Edit: false
records[18].All: false
records[19].View: false
records[19].Create: false
records[19].Delete: false
records[19].Print: false
records[19].Edit: false
records[19].All: false
records[20].View: false
records[20].Create: false
records[20].Delete: false
records[20].Print: false
records[20].Edit: false
records[20].All: false
records[21].View: false
records[21].Create: false
records[21].Delete: false
records[21].Print: false
records[21].Edit: false
records[21].All: false
records[22].View: false
records[22].Create: false
records[22].Delete: false
records[22].Print: false
records[22].Edit: false
records[22].All: false
records[23].View: false
records[23].Create: false
records[23].Delete: false
records[23].Print: false
records[23].Edit: false
records[23].All: false
records[24].View: false
records[24].Create: false
records[24].Delete: false
records[24].Print: false
records[24].Edit: false
records[24].All: false
records[25].View: false
records[25].Create: false
records[25].Delete: false
records[25].Print: false
records[25].Edit: false
records[25].All: false
records[26].View: false
records[26].Create: false
records[26].Delete: false
records[26].Print: false
records[26].Edit: false
records[26].All: false
records[27].View: false
records[27].Create: false
records[27].Delete: false
records[27].Print: false
records[27].Edit: false
records[27].All: false
records[28].View: false
records[28].Create: false
records[28].Delete: false
records[28].Print: false
records[28].Edit: false
records[28].All: false
records[29].View: false
records[29].Create: false
records[29].Delete: false
records[29].Print: false
records[29].Edit: false
records[29].All: false
records[30].View: false
records[30].Create: false
records[30].Delete: false
records[30].Print: false
records[30].Edit: false
records[30].All: false
records[31].View: false
records[31].Create: false
records[31].Delete: false
records[31].Print: false
records[31].Edit: false
records[31].All: false
records[32].View: false
records[32].Create: false
records[32].Delete: false
records[32].Print: false
records[32].Edit: false
records[32].All: false
records[33].View: false
records[33].Create: false
records[33].Delete: false
records[33].Print: false
records[33].Edit: false
records[33].All: false
records[34].View: false
records[34].Create: false
records[34].Delete: false
records[34].Print: false
records[34].Edit: false
records[34].All: false
records[35].View: false
records[35].Create: false
records[35].Delete: false
records[35].Print: false
records[35].Edit: false
records[35].All: false
records[36].View: false
records[36].Create: false
records[36].Delete: false
records[36].Print: false
records[36].Edit: false
records[36].All: false
records[37].View: false
records[37].Create: false
records[37].Delete: false
records[37].Print: false
records[37].Edit: false
records[37].All: false
records[38].View: false
records[38].Create: false
records[38].Delete: false
records[38].Print: false
records[38].Edit: false
records[38].All: false
records[39].View: false
records[39].Create: false
records[39].Delete: false
records[39].Print: false
records[39].Edit: false
records[39].All: false
records[40].View: false
records[40].Create: false
records[40].Delete: false
records[40].Print: false
records[40].Edit: false
records[40].All: false
records[41].View: false
records[41].Create: false
records[41].Delete: false
records[41].Print: false
records[41].Edit: false
records[41].All: false
records[42].View: false
records[42].Create: false
records[42].Delete: false
records[42].Print: false
records[42].Edit: false
records[42].All: false
records[43].View: false
